タスク,#,画面/項目,状態,期限,備考
タスク1：画面レイアウト再構築,1,ステータスモニター,完了,3/6,JS動的グリッド対応済み
タスク1：画面レイアウト再構築,2,データモニター,完了,3/6,ツールバー・Excelライクフィルター実装済み
タスク1：画面レイアウト再構築,3,ホーム,未着手,3/6,
タスク1：画面レイアウト再構築,4,個人一覧,完了,3/6,dataMonitorパターンに統一・ドロップダウン列管理・Codexレビュー済み
タスク1：画面レイアウト再構築,5,個人登録/編集,完了,3/6,3カラムレイアウト・カレンダー・ゲートテーブル動的生成・Codexレビュー済み
タスク1：画面レイアウト再構築,6,報告書,完了,3/6,dataMonitorパターンに統一・ドロップダウン列管理・期間抽出
タスク1：画面レイアウト再構築,7,マップモニター,完了,3/6,全面再構築(1740→486行)・JSリファクタ(618→389行)・Codexレビュー済み
タスク2：画面遷移・ポップアップ統一,1,データモニター → 個人登録への遷移,完了,3/6,行選択→別タブ遷移・personalCode pre-fill
タスク2：画面遷移・ポップアップ統一,2,個人登録 → 報告書への遷移,未着手,3/6,
タスク2：画面遷移・ポップアップ統一,3,ステータスモニター → 報告書への遷移,完了,3/6,
タスク2：画面遷移・ポップアップ統一,4,一斉操作・遠隔操作のポップアップ,完了,3/6,mapMonitor: タイトル・col-5/col-7レイアウト・ゲート名形式をstatusMonitorと統一
タスク3：アイコン17種製作,1,メインメニュー用 12種,未着手,要相談,現在は Font Awesome 仮アイコン
タスク3：アイコン17種製作,2,システムメニュー用 5種,未着手,要相談,
タスク4：カメラ連動デモ,1,カメラ連動デモ用ソフト製作（2画面）,未着手,要相談,API資料待ち
